company,raw_label,normalized_label,office_url,source,discovered_at
Quanta Computer,"Fremont, CA",fremont ca,"https://www.glassdoor.com/Location/All-Quanta-Computer-Fremont-Office-Locations-EI_IE11939.4,19_IL.20,27_IC1147355.htm",office-location,2026-06-28T06:53:02.632313+00:00
Wistron,"Lake Forest, CA",lake forest ca,"https://www.glassdoor.com/Location/All-Wistron-Lake-Forest-Office-Locations-EI_IE15218.4,11_IL.12,23_IC1146811.htm",office-location,2026-06-28T06:53:06.675719+00:00
Wistron,"Rolling Meadows, IL",rolling meadows il,"https://www.glassdoor.com/Location/All-Wistron-Rolling-Meadows-Office-Locations-EI_IE15218.4,11_IL.12,27_IC1128962.htm",office-location,2026-06-28T06:53:06.676743+00:00
Wistron,"Shanghai, 23",shanghai 23,"https://www.glassdoor.com/Location/All-Wistron-Shanghai-Office-Locations-EI_IE15218.4,11_IL.12,20_IC2416009.htm",office-location,2026-06-28T06:53:06.676743+00:00
Wistron,"Taipei, TPQ",taipei tpq,"https://www.glassdoor.com/Location/All-Wistron-Taipei-Office-Locations-EI_IE15218.4,11_IL.12,18_IC3271041.htm",office-location,2026-06-28T06:53:06.676743+00:00
Wistron,"Wuhan, 12",wuhan 12,"https://www.glassdoor.com/Location/All-Wistron-Wuhan-Office-Locations-EI_IE15218.4,11_IL.12,17_IC2478891.htm",office-location,2026-06-28T06:53:06.676743+00:00
Delta Electronics,"Fremont, CA",fremont ca,"https://www.glassdoor.com/Location/All-Delta-Electronics-Fremont-Office-Locations-EI_IE41146.4,21_IL.22,29_IC1147355.htm",office-location,2026-06-28T06:53:41.786017+00:00
Delta Electronics,"Hoofddorp, NH",hoofddorp nh,"https://www.glassdoor.com/Location/All-Delta-Electronics-Hoofddorp-Office-Locations-EI_IE41146.4,21_IL.22,31_IC3063772.htm",office-location,2026-06-28T06:53:41.786017+00:00
Delta Electronics,"Taipei, TPQ",taipei tpq,"https://www.glassdoor.com/Location/All-Delta-Electronics-Taipei-Office-Locations-EI_IE41146.4,21_IL.22,28_IC3271041.htm",office-location,2026-06-28T06:53:41.786017+00:00
Delta Electronics,"Notting Hill, VIC",notting hill vic,"https://www.glassdoor.com/Location/All-Delta-Electronics-Notting-Hill-Office-Locations-EI_IE41146.4,21_IL.22,34_IC2257042.htm",office-location,2026-06-28T06:53:41.786017+00:00
Inventec,"Santa Clara, CA",santa clara ca,"https://www.glassdoor.com/Location/All-Inventec-Santa-Clara-Office-Locations-EI_IE13485.4,12_IL.13,24_IC1147439.htm",office-location,2026-06-28T06:53:44.973000+00:00
